condition,i,j,cosine
sparse,0,1,0.8842676281929016
sparse,0,2,0.6326103806495667
sparse,0,3,0.9240177869796753
sparse,0,4,0.8476648330688477
sparse,0,5,0.9085270166397095
sparse,0,6,0.9192448258399963
sparse,0,7,0.8502165079116821
sparse,0,8,0.9135650992393494
sparse,0,9,0.9273526072502136
sparse,0,10,0.9210397005081177
sparse,0,11,0.9054363965988159
sparse,0,12,0.9092305898666382
sparse,0,13,0.8830623626708984
sparse,0,14,0.8360170722007751
sparse,0,15,0.910585343837738
sparse,0,16,0.9213393926620483
sparse,0,17,0.9307072758674622
sparse,0,18,0.6468598246574402
sparse,0,19,0.9281059503555298
sparse,0,20,0.8875342011451721
sparse,0,21,0.9016993641853333
sparse,0,22,0.9055689573287964
sparse,0,23,0.9168823957443237
sparse,0,24,0.8917397260665894
sparse,0,25,0.9045820236206055
sparse,0,26,0.9396462440490723
sparse,0,27,0.9080245494842529
sparse,0,28,0.9279836416244507
sparse,0,29,0.8502282500267029
sparse,1,2,0.6413184404373169
sparse,1,3,0.8654665946960449
sparse,1,4,0.8706030249595642
sparse,1,5,0.9060016870498657
sparse,1,6,0.8824361562728882
sparse,1,7,0.8451940417289734
sparse,1,8,0.8751769065856934
sparse,1,9,0.8970779180526733
sparse,1,10,0.8851304650306702
sparse,1,11,0.8394145965576172
sparse,1,12,0.9259476065635681
sparse,1,13,0.8169416785240173
sparse,1,14,0.8501150012016296
sparse,1,15,0.9277087450027466
sparse,1,16,0.9050824046134949
sparse,1,17,0.907709002494812
sparse,1,18,0.6208943128585815
sparse,1,19,0.9136478900909424
sparse,1,20,0.8580862283706665
sparse,1,21,0.908617377281189
sparse,1,22,0.920215368270874
sparse,1,23,0.861496090888977
sparse,1,24,0.8966708183288574
sparse,1,25,0.9270670413970947
sparse,1,26,0.8706053495407104
sparse,1,27,0.9321365356445312
sparse,1,28,0.8805779218673706
sparse,1,29,0.9095852375030518
sparse,2,3,0.6445199251174927
sparse,2,4,0.6170743703842163
sparse,2,5,0.6749987602233887
sparse,2,6,0.6325477957725525
sparse,2,7,0.6438075304031372
